"pkey","user","usergroup"
"29533","125","51"
"29532","125","20"
"66662","2","35"
"66661","2","16"
"66660","2","2"
"78216","215","88"
"66847","5","19"
"66846","5","54"
"66845","5","46"
"76977","13","21"
"76976","13","127"
"76975","13","65"
"44708","123","8"
"44707","123","45"
"44706","123","52"
"53720","250","52"
"53719","250","61"
"53718","250","54"
"30493","75","51"
"30492","75","20"
"30491","75","48"
"81260","43","126"
"81259","43","41"
"81258","43","15"
"45401","126","35"
"45400","126","16"
"45399","126","2"
"77503","3","57"
"68846","45","52"
"68845","45","61"
"68844","45","140"
"33053","235","54"
"33052","235","57"
"33051","235","29"
"66844","5","51"
"66843","5","20"
"81314","145","47"
"81562","80","65"
"76974","13","47"
"81257","43","5"
"77502","3","29"
"66842","5","27"
"66841","5","35"
"45398","126","59"
"45397","126","49"
"68843","45","57"
"66840","5","16"
"44705","123","61"
"44704","123","54"
"30175","189","42"
"30174","189","55"
"30173","189","37"
"30172","189","62"
"30171","189","11"
"30170","189","7"
"30169","189","13"
"30168","189","56"
"30167","189","44"
"30166","189","58"
"30165","189","39"
"30164","189","40"
"30163","189","3"
"30162","189","41"
"30161","189","15"
"30160","189","5"
"30159","189","21"
"30158","189","47"
"30157","189","30"
"30156","189","26"
"30155","189","9"
"30154","189","34"
"30153","189","23"
"30152","189","10"
"30151","189","50"
"68016","82","28"
"68015","82","38"
"68014","82","19"
"68013","82","54"
"68012","82","46"
"68011","82","51"
"68010","82","20"
"68009","82","27"
"68008","82","35"
"53717","250","57"
"53716","250","92"
"25812","177","13"
"55955","148","48"
"81561","80","47"
"81256","43","21"
"44703","123","57"
"66839","5","2"
"25811","177","56"
"76973","13","64"
"30490","75","27"
"68842","45","29"
"77501","3","25"
"29531","125","48"
"29530","125","27"
"45396","126","43"
"33050","235","25"
"81255","43","127"
"68007","82","16"
"68006","82","2"
"68005","82","59"
"68004","82","49"
"68003","82","43"
"68002","82","6"
"68001","82","60"
"78215","215","42"
"78214","215","55"
"53715","250","29"
"53714","250","25"
"66659","2","49"
"66658","2","43"
"68841","45","141"
"68840","45","25"
"55769","175","55"
"26096","172","37"
"26095","172","62"
"81254","43","65"
"43220","178","23"
"43219","178","89"
"78213","215","37"
"78212","215","81"
"78211","215","72"
"58958","224","12"
"55845","167","37"
"81560","80","64"
"28268","184","59"
"55844","167","81"
"81253","43","47"
"77500","3","14"
"77499","3","44"
"30489","75","35"
"30488","75","16"
"30487","75","2"
"30486","75","59"
"30485","75","49"
"30484","75","43"
"81559","80","152"
"44702","123","29"
"44701","123","25"
"44700","123","14"
"44699","123","44"
"44698","123","28"
"44697","123","75"
"44696","123","38"
"23841","179","37"
"23840","179","11"
"55768","175","37"
"81558","80","84"
"55843","167","72"
"55842","167","62"
"55841","167","11"
"55840","167","7"
"55839","167","69"
"55838","167","67"
"55837","167","13"
"55836","167","56"
"55835","167","58"
"55834","167","39"
"55833","167","40"
"55832","167","71"
"55831","167","3"
"53713","250","14"
"81557","80","30"
"81556","80","128"
"81555","80","137"
"81252","43","64"
"81251","43","152"
"81250","43","84"
"81249","43","30"
"68839","45","14"
"68838","45","83"
"45395","126","6"
"45394","126","60"
"45393","126","12"
"29529","125","35"
"29528","125","16"
"29527","125","2"
"26915","102","11"
"26914","102","7"
"26913","102","13"
"81248","43","128"
"81247","43","137"
"55767","175","62"
"81246","43","125"
"81245","43","26"
"55766","175","11"
"66838","5","59"
"29526","125","59"
"27084","161","50"
"44695","123","19"
"45392","126","31"
"42895","182","58"
"33049","235","14"
"33048","235","28"
"53712","250","98"
"30483","75","6"
"30482","75","60"
"29525","125","49"
"29524","125","43"
"29523","125","6"
"23839","179","7"
"26912","102","56"
"66837","5","49"
"66836","5","43"
"41930","160","12"
"77498","3","28"
"43218","178","10"
"29522","125","12"
"53711","250","83"
"76972","13","84"
"20857","152","9"
"81554","80","125"
"81244","43","134"
"66657","2","6"
"44694","123","46"
"51336","154","56"
"81293","159","49"
"77553","22","119"
"68837","45","44"
"26911","102","44"
"26910","102","58"
"26909","102","39"
"51335","154","58"
"51334","154","39"
"51333","154","40"
"51332","154","73"
"51331","154","71"
"51330","154","3"
"51329","154","66"
"51328","154","41"
"51327","154","15"
"51326","154","5"
"51325","154","21"
"51324","154","65"
"51323","154","47"
"51322","154","64"
"51321","154","30"
"51320","154","26"
"51319","154","68"
"51318","154","9"
"51317","154","34"
"51316","154","79"
"51315","154","23"
"51314","154","10"
"51313","154","50"
"51312","154","8"
"51311","154","45"
"51310","154","52"
"51309","154","61"
"51308","154","54"
"51307","154","57"
"51306","154","29"
"51305","154","25"
"51304","154","14"
"51303","154","44"
"51302","154","28"
"51301","154","75"
"51300","154","38"
"51299","154","19"
"51298","154","46"
"51297","154","51"
"51296","154","20"
"43144","195","5"
"43143","195","21"
"43142","195","65"
"43141","195","47"
"43140","195","64"
"43139","195","84"
"43138","195","30"
"43137","195","26"
"43136","195","68"
"43135","195","93"
"55366","334","88"
"81553","80","26"
"81141","382","81"
"73703","371","145"
"73698","370","97"
"73157","248","88"
"73156","248","42"
"73155","248","55"
"73154","248","37"
"76971","13","30"
"76970","13","128"
"76969","13","137"
"76968","13","125"
"76967","13","26"
"76966","13","134"
"76965","13","48"
"76964","13","68"
"76963","13","107"
"76962","13","93"
"76961","13","144"
"76960","13","143"
"76959","13","9"
"76958","13","34"
"76957","13","124"
"76956","13","79"
"76955","13","23"
"76954","13","142"
"76953","13","89"
"53962","156","29"
"53965","157","29"
"33311","158","42"
"54171","162","51"
"67179","163","52"
"68000","82","12"
"67999","82","31"
"67998","82","139"
"67997","82","53"
"67996","82","138"
"42708","270","97"
"81292","269","89"
"81311","374","4"
"51295","154","48"
"51294","154","74"
"51293","154","27"
"66656","2","12"
"66655","2","31"
"66654","2","53"
"76952","13","10"
"76951","13","50"
"53710","250","44"
"53709","250","28"
"29521","125","31"
"20859","91","9"
"26094","172","11"
"55830","167","66"
"20860","151","9"
"43217","178","50"
"68836","45","28"
"20858","147","49"
"81243","43","48"
"81242","43","68"
"26908","102","40"
"26907","102","3"
"26906","102","41"
"33047","235","75"
"33046","235","38"
"33045","235","19"
"77497","3","75"
"77496","3","38"
"77495","3","19"
"81552","80","134"
"81551","80","48"
"29520","125","53"
"29519","125","32"
"29518","125","4"
"68835","45","75"
"68834","45","38"
"68833","45","19"
"68832","45","54"
"45391","126","53"
"45390","126","32"
"45389","126","4"
"44693","123","51"
"44692","123","20"
"44691","123","48"
"68831","45","46"
"81550","80","68"
"69315","117","72"
"66835","5","63"
"30481","75","12"
"30480","75","31"
"51292","154","35"
"26905","102","15"
"26904","102","5"
"26903","102","21"
"26902","102","47"
"26901","102","30"
"26900","102","26"
"26899","102","9"
"26898","102","34"
"26897","102","23"
"26896","102","10"
"26895","102","50"
"26894","102","8"
